,Unnamed: 0,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
36,36,150,2019-12-01 01:15:48.8430,2019-12-01 01:18:19.5920,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,2060,Subscriber,1991,2
37,37,1383,2019-12-01 01:19:32.6150,2019-12-01 01:42:35.6410,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,4714,Subscriber,2001,1
38,38,617,2019-12-01 01:20:56.8200,2019-12-01 01:31:14.5520,6,Cambridge St at Joy St,42.36121165307985,-71.06530619789737,143,EF - North Point Park,42.369885,-71.069957,4973,Customer,1997,1
39,39,296,2019-12-01 01:21:39.6950,2019-12-01 01:26:36.1690,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,5696,Subscriber,1984,2
40,40,441,2019-12-01 01:23:27.0300,2019-12-01 01:30:48.2920,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,115,Porter Square Station,42.387995,-71.119084,3111,Subscriber,1994,1
41,41,334,2019-12-01 01:23:44.1050,2019-12-01 01:29:18.3310,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,3849,Subscriber,1992,2
42,42,674,2019-12-01 01:29:03.4540,2019-12-01 01:40:17.7200,189,Kendall T,42.3624278429124,-71.08495473861694,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,3934,Subscriber,1992,1
43,43,1011,2019-12-01 01:30:12.2770,2019-12-01 01:47:03.5040,361,Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,175,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,5984,Customer,1969,0
44,44,681,2019-12-01 01:32:33.4520,2019-12-01 01:43:54.8780,356,Charlestown Navy Yard,42.374124549426526,-71.05481199938367,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,5040,Subscriber,1991,1
45,45,1641,2019-12-01 01:32:55.7330,2019-12-01 02:00:16.7750,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,5267,Customer,1991,2
46,46,668,2019-12-01 01:36:19.6460,2019-12-01 01:47:27.9780,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,4131,Subscriber,1989,1
47,47,1407,2019-12-01 01:37:08.6730,2019-12-01 02:00:36.0620,54,Tremont St at West St,42.354979,-71.063348,126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,4737,Customer,1969,0
48,48,649,2019-12-01 01:42:19.8780,2019-12-01 01:53:09.8760,78,Union Square - Somerville,42.37967148149253,-71.0954931006745,156,Somerville Hospital,42.39678588551018,-71.1023729667977,6130,Subscriber,1993,1
49,49,156976,2019-12-01 01:55:36.8530,2019-12-02 21:31:53.0930,405,Sydney St at Carson St,42.32039374304257,-71.05355408051764,1,18 Dorrance Warehouse,42.387151,-71.075978,5973,Customer,1969,0
50,50,4869,2019-12-01 01:56:33.3410,2019-12-01 03:17:42.7540,203,Columbia Rd at Ceylon St,42.309572,-71.0729,353,Mattapan Library,42.2773889,-71.09325,4458,Customer,1993,1
51,51,1631,2019-12-01 02:00:35.5800,2019-12-01 02:27:47.3720,390,Broadway at Lynde St,42.39648358247693,-71.06546759905541,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,3882,Subscriber,1994,1
52,52,191,2019-12-01 02:01:08.8050,2019-12-01 02:04:20.1330,369,Boston Public Market,42.36254854409333,-71.0573735833168,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,4499,Customer,1969,0
53,53,565,2019-12-01 02:08:52.9980,2019-12-01 02:18:18.3210,189,Kendall T,42.3624278429124,-71.08495473861694,139,Dana Park,42.36178043960605,-71.10809952020645,2206,Subscriber,1992,1
54,54,1162,2019-12-01 02:12:48.0670,2019-12-01 02:32:10.9450,49,Stuart St at Charles St,42.351146,-71.066289,327,Main St at Thompson Sq,42.374878467440965,-71.06383498767171,4773,Subscriber,1986,1
